127.0.0.1, 2013-05-16 23:16:11, GET, /, HTTP/1.1, 303, 0.001302
127.0.0.1, 2013-05-16 23:16:13, GET, /welcome/default/index, HTTP/1.1, 200, 2.546201
127.0.0.1, 2013-05-16 23:16:19, GET, /, HTTP/1.1, 303, 0.001701
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.024972
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000694
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002119
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000395
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000528
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001218
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000821
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000601
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000449
127.0.0.1, 2013-05-16 23:16:19, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000409
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/default/site, HTTP/1.1, 303, 0.252649
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/default/index, HTTP/1.1, 200, 0.037563
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002826
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000792
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001319
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002918
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001354
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001244
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000462
127.0.0.1, 2013-05-16 23:16:21, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000460
127.0.0.1, 2013-05-16 23:16:22, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000379
127.0.0.1, 2013-05-16 23:16:22, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000459
127.0.0.1, 2013-05-16 23:16:22, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000488
127.0.0.1, 2013-05-16 23:16:22, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.003216
127.0.0.1, 2013-05-16 23:16:22, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001810
127.0.0.1, 2013-05-16 23:16:22, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001699
127.0.0.1, 2013-05-16 23:16:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2013-05-16 23:16:23, POST, /admin/default/index, HTTP/1.1, 303, 0.027646
127.0.0.1, 2013-05-16 23:16:24, GET, /admin/default/site, HTTP/1.1, 200, 0.044627
127.0.0.1, 2013-05-16 23:16:24, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.002336
127.0.0.1, 2013-05-16 23:16:24, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.002076
127.0.0.1, 2013-05-16 23:16:24, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2013-05-16 23:16:24, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.004880
127.0.0.1, 2013-05-16 23:16:24, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000398
127.0.0.1, 2013-05-16 23:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2013-05-16 23:16:25, POST, /admin/default/check_version, HTTP/1.1, 500, 1.075057
127.0.0.1, 2013-05-16 23:16:25, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.239790
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/default/index, HTTP/1.1, 200, 0.168780
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000554
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000553
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000560
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/css/skeleton.css, HTTP/1.1, 200, 0.000574
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/css/superfish.css, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/js/superfish.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/back-02.png, HTTP/1.1, 200, 0.000571
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000379
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/book-4th.png, HTTP/1.1, 200, 0.001248
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000653
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/tag-cloud-color-small.png, HTTP/1.1, 200, 0.001239
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/poweredby.png, HTTP/1.1, 200, 0.000410
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.002048
127.0.0.1, 2013-05-16 23:16:27, GET, /examples/static/favicon.ico, HTTP/1.1, 200, 0.000364
127.0.0.1, 2013-05-16 23:16:40, GET, /admin/default/site, HTTP/1.1, 200, 0.035627
127.0.0.1, 2013-05-16 23:16:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000469
127.0.0.1, 2013-05-16 23:16:42, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.071145
127.0.0.1, 2013-05-16 23:16:42, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000558
127.0.0.1, 2013-05-16 23:16:42, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2013-05-16 23:16:42, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000489
127.0.0.1, 2013-05-16 23:16:42, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000688
127.0.0.1, 2013-05-16 23:16:42, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001022
127.0.0.1, 2013-05-16 23:16:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2013-05-16 23:17:06, GET, /admin/default/search/welcome, HTTP/1.1, 200, 0.024536
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/default/edit/welcome/controllers/appadmin.py, HTTP/1.1, 200, 0.038975
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000569
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000551
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000533
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-05-16 23:17:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000462
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000483
127.0.0.1, 2013-05-16 23:17:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000452
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000571
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000548
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000597
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.001190
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.001621
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000462
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000857
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.001508
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.002237
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000549
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000416
127.0.0.1, 2013-05-16 23:17:17, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000330
127.0.0.1, 2013-05-16 23:17:27, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.030940
127.0.0.1, 2013-05-16 23:17:31, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.071173
127.0.0.1, 2013-05-16 23:17:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2013-05-16 23:17:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.021885
127.0.0.1, 2013-05-16 23:17:38, GET, /admin/default/site, HTTP/1.1, 200, 0.031229
127.0.0.1, 2013-05-16 23:17:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000460
127.0.0.1, 2013-05-16 23:17:39, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.472596
127.0.0.1, 2013-05-16 23:17:40, GET, /examples/default/index, HTTP/1.1, 200, 0.010838
127.0.0.1, 2013-05-16 23:19:19, GET, /examples/static/epydoc/web2py.gluon.tools.Auth-class.html, HTTP/1.1, 200, 0.000455
127.0.0.1, 2013-05-16 23:19:19, GET, /examples/static/epydoc/epydoc.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2013-05-16 23:19:19, GET, /examples/static/epydoc/epydoc.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2013-05-16 23:19:19, GET, /examples/static/epydoc/title.png, HTTP/1.1, 200, 0.000545
127.0.0.1, 2013-05-16 23:19:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2013-05-16 23:19:27, GET, /examples/static/epydoc/, HTTP/1.1, 403, 0.000464
127.0.0.1, 2013-05-16 23:19:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2013-05-16 23:30:35, GET, /, HTTP/1.1, 303, 0.001128
127.0.0.1, 2013-05-16 23:30:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.024920
127.0.0.1, 2013-05-16 23:30:45, GET, /admin/default/index, HTTP/1.1, 303, 0.008983
127.0.0.1, 2013-05-16 23:30:45, GET, /admin/default/site, HTTP/1.1, 200, 0.033256
127.0.0.1, 2013-05-16 23:30:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000625
127.0.0.1, 2013-05-16 23:30:51, POST, /admin/default/site, HTTP/1.1, 303, 0.042670
127.0.0.1, 2013-05-16 23:30:51, GET, /admin/default/design/911_signin, HTTP/1.1, 200, 0.064168
127.0.0.1, 2013-05-16 23:30:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2013-05-16 23:30:58, GET, /911_signin/default/index, HTTP/1.1, 200, 1.564075
127.0.0.1, 2013-05-16 23:30:59, GET, /admin/default/twitter.load, HTTP/1.1, 200, 13.578082
127.0.0.1, 2013-05-17 00:00:38, GET, /, HTTP/1.1, 303, 0.000687
127.0.0.1, 2013-05-17 00:00:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.030637
127.0.0.1, 2013-05-17 00:00:41, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.023834
127.0.0.1, 2013-05-17 00:00:46, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.033548
127.0.0.1, 2013-05-17 00:00:48, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028453
127.0.0.1, 2013-05-17 00:00:49, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.021065
127.0.0.1, 2013-05-17 00:03:52, GET, /admin/default/site, HTTP/1.1, 200, 0.045822
127.0.0.1, 2013-05-17 00:03:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2013-05-17 00:03:56, GET, /admin/default/twitter.load, HTTP/1.1, 200, 3.118833
127.0.0.1, 2013-05-17 00:04:00, GET, /911_signin/default/index, HTTP/1.1, 500, 0.060651
127.0.0.1, 2013-05-17 00:04:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2013-05-17 00:04:02, GET, /admin/default/ticket/911_signin/127.0.0.1.2013-05-17.00-03-59.26dceee0-81e4-4aff-9991-f9d859f6ca35, HTTP/1.1, 200, 0.084400
